Review,Sentimen
Tips untuk pilih shade Skintific Cushion Foundation tu is pilih one shade lighter sebab dia oxidised!,Neutral
"also kalau korang nak tahu, skintific cushion ni ada jual dia punya refill ! it’s easier for you guys untuk beli bila dah habis nanti. i pun dah banyak kali beli dia punya refill. tak pernah tak worth it 😍 ",Positive
"Skintific's Cushion Kiri i pakai vanilla, kanan i pakai ivory. For me i rasa both match cumanya ivory is a little bit too yellow for me. So memang I akan pakai vanilla, especially bila pakai tudung warna cerah!",Neutral
The viral Skintific cushion is launching another new cushion and it might cause another viral wave! Baik pi beli cepat before Cushion Biru start viral & sold out. Sebab kat indo Cushion Biru ni sold out dalam masa 24 jam after launched. This cushion is truly top tier. 🥹💙,Neutral
Cantik colourr Skintific Cushion,Positive
prleoved cushion skintific shade beige 50k cm dipake 3x,Neutral
MUPENG gw cobain cushion skintific biru yang velvety matte finish! coveragenya medium to full,Neutral
"tes skintific cushion oksidasi dari jam 3 sore sampe 8 malam masih oke minim oksidasi, oil controlnya juara sih ini ga longsor makin cakep🙏🏻",Positive
Sangat! Suka color skintific cushion! 😻,Positive
love coverageee Skintific Cushion,Positive
Woahhh baru launch kena beli ni skintific cushion😍,Neutral
"I've been looking for a perfect cushion and the moment I know that Freen is collaborating with a brand call Skintific, ",Neutral
Dengan ini saya sahkan cushion dengan coverage paling tinggi pada abad ni memang jatuh kepada Skintific. ,Neutral
skintific cushion foundation dari AM🌞 ke PM🌝,Neutral
ni pakai skintific cushion without concealer but i think it still covered my dark circles pretty well ✨,Neutral
my opinion Skintific Cushion remains the same; this is a hella good cushion foundation & it deserves the hype,Neutral
HELLO CANTIKNYA FOUNDATION VIRAL SKINTIFIC NI 😫,Positive
Serious tak menyesal beli cushion skintific. Nampak skin glowing ✨Tak payah susah2 pakai filter🥹,Neutral
Senang dah lepasni nak touchup boleh bawak foundation ni pergi mana2 sebab dia bentuk skintific cushion. ,Neutral
would i recommend this skintific cushion to you?: YES✅,Positive
Skintific cushion mmg best sgt! Nwy you so beautiful ☺️,Positive
ai pakai Skintific cushion 01 vanilla! but kalau ada rezeki lebih nak try 02 ivory / 03 petal sebab rasanya yang tu lagi suit my skin ☺️,Neutral
Kalau u rasa cushion skintific yang colour gold tu dah cukup best..,Positive
"Sekarang ni, this blue Skintific cushion memang dah tengah viral kan, so I nak test the longevity throughout the day on my oily skin.",Neutral
"Kulit glowing, pori-pori blur, makeup on point sepanjang hari! 💖 Dengan Skintific BB Cushion, cantik jadi effortless.",Positive
At this point i tak rasa pun cushion skintific ni orang hype sebab marketing.,Neutral
Biasanya if i pakai foundation/cushion mesti kena set with loose powder but this one takpakai loose powder pun dah cantik gila. ,Positive
Rasa nak marah sofeashra sebab buat i terjebak obses cushion biru 😭,Neutral
Honestly I dah pernah pakai both Skintific punya cushion but still tak boleh decide mana satu favourite sebab finishing dua2 cantik dooh🥹,Positive
"You don't need to say anything else, just go and buy the Skintific cushion foundation. It's really amazing! Normally, when I use foundation or cushion, there are usually whitehead marks on my nose, but this one is smooth and looks beautiful. I LOVE IT!",Positive
cantiknyaaa awakkk rasa nak beli jugaa laa cushion skintific ni,Positive
Ni i pakai cushion biru. Nampak mcm pakai powder kan padahal tak pun😭,Neutral
I pakai code ivory. Cushion biru ni baru je release boleh beli kat sini,Neutral
For this one i rasa ambil shade yg u biasa pakai sebab dia tak oxidised macam yg cushion gold.,Neutral
"Jangan hasut I please, sebab yg cushion skintific gold dulu tu pun dah best keluar yg baru lg 🥹",Positive
Wow menjadi ni rasa teracun ni ingin cushion skintific,Neutral
Skintific ni semua produk dia memang best tau! Skincare ke makeup ke semua lah 😍😍,Positive
"Kayla dah try yang skintific cushion gold, memang lawa walaupun oily skin, tunggu gaji nak grab yang biru ni pulak.",Neutral
Yee skintific cushion ni memnag terbukti produk dia boleh go further. Semua best,Positive
yesss cushion skintific memang best gila! i nak try yang biru pulak hehe,Positive
"Skintific ni mmg betul2 best, hype bukan sbb marketing je tapi mmg yang dah guna tu review betul2 nampak cantik gila bila guna matte cushion ni",Positive
Cushion gold dewy and glowing finishing. Texture lightweight and medium to full coverage. Ada SPF 35 PA++++,Positive
Cushion biru velvet matte finishing and high coverage. Suitable for oily skin. Looks like a healthy skin,Neutral
Korang pergi je lah beli skintific matte cushion. Dia punya finishing memang lurvee. Tak bercapuk and long lasting,Neutral
Dia punya skintific cushion final look memang flawless and nampak healthy je. Pastu tak cakey and transfer-proof. Pakai 1 tap je dah boleh cover mata panda and dark spots,Positive
"Gula tak perlu try hard pakai concealer, foundation — pakai Skintific Cushion ni SAHAJA  dah boleh cover all dark spots, redness dan pores Gula. ",Neutral
OMG high coverage and cantik gila cushion skintific! ,Positive
Macam tak percaya jerrr Skintific Cushion biru tuu i boleh dapat dengan harga RM45.69😭😱,Neutral
"Kalau i kena pilih satu je from Skintific, this blue cushion is definitely my 💯 pick. ✨",Neutral
"I suka this skintific cushion sebab dia lightweight, senang blend, & coverage dia onz. Still nampak glowing even though dia matte!",Positive
"Recently cushion skintific, i pakai pergi concert Hyukoh, after the concert, kulit still nampak smooth, tak cakey, tak dry langsung. ",Neutral
Now this skintific cushion dah jadi my ultimate go-to. I memang keep reaching for this one je!,Neutral
I pun suka cushion skintific ni. Xboleh lawan dgn brand2 lain 😬,Positive
lepas gold cushion I dah habis nanti memang nak try yang biru ni!!,Neutral
Bestkann skintific cushion nii!! I suka dua dua gold & biruuu kadang confuse nak pilih yang mana 😌,Positive
Kat skin i cushion skintific gold macam tak kena sikit dia macam buat muka nampak warm sgt. Padahal code sama. Yang ni onz. Tapi ramai kawan i suka yang gold jgk. Maybe dgn i la yang tak kena 🥲,Positive
Skintific cushion waktu Payday Sales dia bukan main murah yaaa👀,Neutral
Banyak  betulll diskaunn cushion skintific,Neutral
Wah murahnyaa skintific cushion🙀,Neutral
Beginner yang nak belajar makeup please try skintific cushion sebab dia very lightweight macam tak pakai apa2 ,Neutral
HANDS DOWN THE BEST CUSHION SKINTIFIC EVER!!!! 😍😍,Positive
Serious talk ! Bila dah pakai Skintific Cushion Foundation ni dah tak pandang yang lain 😍,Neutral
this is my first time trying the SKINTIFIC cushion foundation and I AM IN LOVE!!! memang worth the hype!!!,Positive
Sebab texture cushion skintific jenis matte dan tak senang bercapuk kalau muka kita berpeluh 💯🩷,Neutral
Cushion skintific biru dah masuk malaysia gais 😭 Coverage dia bukan kaleng kaleng ya katanya sesuai untuk oily skin!,Neutral
Cushion yg sebelum ni pun dah lurve teruk rasanya yg ni pun confirm lurve jugak! (kita pulak jenis kulit berminyak),Negative
ramai indo ckp ni better than cushion skintific yg skrg 🥰,Neutral
Refill cushion skintific mate biru shade petal 40k,Neutral
I might not be able to say this again in the future (iykyk) but SKINTIFIC HAS THE BEST CUSHION FOUNDATION!!! ,Positive
Cushion skintific semua jenis kulit muka sesuai pakai. It brings out the best skin for you fr fr 🤩👍🏻,Positive
No wonder ramai tengah hype Skintific cushion yang baru ni. Yang biru ni lagi best dari yang lama. Sumpah kena beli! 😭,Positive
refill skintific cushionnya udh smpet di swatch blm kak?,Neutral
Maaf udah sold kakk cushion skintific,Neutral
Kakaknya mau apaa? Maaf banget skintific cushion dan aboveboardnya sold,Neutral
Refill skintific cushion nya masih ka?,Neutral
"kak, cushion skintific nyaa masi ada kah?",Neutral
Skintific cushion foundation ni boleh tahan 6 bulan ++ sebab you only need sikit je when apply.,Neutral
I suka skintific cushion jugak!! Lurveee 😍,Positive
Glad that you like Skintific Cushion! Tapi I tak minat Skintific sebab it feels dodgy to me 🙃,Neutral
Harga asal cushion skintific RM139 tapi kalau beli sekarang time shocking sale memang berbaloi! ,Neutral
ku berharap after dah gaji nanti sales masih ada. nak check out skintific cushion!! 🫵🏻🥹,Neutral
Dari semalam lagi tau lalu lalang skintific cushion biru ni..petanda kena check out gak ni👀,Neutral
"dari semalam lalu lalang dekat timeline , tunggu gaji nanti nak checkout skintific cushion terus!",Neutral
"You’re seriously missing out kalau you guys belum try this Skintific Cushion biru. You pakai lama pun tetap terletak cantik, heloks ya. Love teruk cushion ni! 🥹💙",Positive
"Lately, memang i keep reaching for this skintific cushion je. Ada hari yang i pi concert, i pakai cushion ni, after hours pun muka still terletak cantik. ",Positive
"I macam kagum gila, sebab kalau tak, selalu lepas habis concert, muka dah tak rupa orang. Yang concert ni i siap nangis nangis btw 😂",Neutral
"Please la try this one, there’s a reason kenapa orang hype this skintific cushion, sebab dia memang betul best! Really worth the hype la. 💯💫 ",Positive
Oh & this one matte but as someone yang dry skin pun i approved & love cushion skintific biru ni 🥹💙,Positive
aaa suka sangat dgn cushion skintific nii,Positive
"Babe sorry baru perasan 🥲 i pakai skintific cushion 01 Vanilla, undertone; neutral",Neutral
If you think skintific cushion foundation is good WAIT TILL YOU TRY THIS 💯,Neutral
FAQ: Kalau dah ada skintific cushion foundation boleh ke beli code sama? The answer is NO 🚫,Neutral
"Kalau you pakai daily, beli skintific cushion! Effortless",Neutral
"Compared to skintific cushion and this mana you pilihhh, i dont mind the hassle to apply makeup cuma confused nak apa dlm hidup😂",Neutral
I dah try skintific cushion biru. I rasa cushion ni sangat perfect if u ,Neutral
"If nak compare with skintific cushion gold, this one better bcs tak cepat oxidised. Pakai lama pun makeup still cantik",Positive
"Weh Skintific Cushion biru ni betul-betul stay matte lama ye kat kulit, colleagues i pun impressed.",Neutral
Skintific cushion biru ni best sangat,Positive
tgk cushion skintific yg ni rasa best dari sblum ni ✨,Positive
Link cushion skintific tengah murah!: https://s.shopee.com.my/5fUTG9ZkVH,Neutral
Punya dah lama x makeup sjk sakit ni. Bru sedar skintific Cushion ade products baru. Skrg ni kluar rumah pon dah x pakai apa dah. Sunscreen pon tak. Jd x de mood. Jerawat naik pon dah malas nak jaga. Skincare yg ada pon x bukak drpd plastik g.,Neutral
Sblm ni scintific cushion tu tk best berminyak muka naik jerawat huhu,Neutral
"Aku nawarin cushion skintific di tiktok, aku jual juga karena shade nya di aku kegelapan, dan baru satu kali pakai",Negative
OKEEE klo lu pada nanyain w pake cushion ape :V gw pake my one and only skintific. Coveragenya beneran CHEFS KISS!!!! Full coverage bgt tapi kaga bikin keliatan dempul. Gw pake shade BEIGE ya guys.,Positive
Fuuhhh Skintific dah keluarkan new cushion foundation☝🏼,Neutral
High coverage ya skintific cushion fd niii. Memang tertutup ye semua redness dan dark spots 😭💗,Neutral
"Nah semua skintific cushion yang gw pake PASTI oxidized, ini si beige gw pake pas oxidize rada turun setengah shade, tp masi keliatan kaya kulit kok ",Negative
"Ada 8 shade available, dari fair sampai tan skin🫶🏻 Finishing skintific cushion fd ni velvet matte & high coverage so boleh cover yang ada acne",Neutral
Skintific cushion foundation ni untuk oily skin pun sesuai tau🫶🏻,Neutral
Another Skintific cushion foudation yang high coverage is this Pink & Red Tirtir👇🏻📍 https://s.shopee.com.my/7zsMUC8ZoP,Neutral
Skintific cushion biru ni utk oily skin kan cepat lah sampai malaysia 😩,Neutral
The most famous one in indo right now ! Wajib grab skintific cushion 🫶🏼,Neutral
sekarang tengah hype cushion skintific yg ni kan. tadi baru je came across tt dahlia,Neutral
satisfying betul video video orang guna skintific cushion foundation ni 🤣🤣🤩🤩,Neutral
suka betul skintific cushion high coverage macam ni,Positive
"Yang skinitific cushion gold pun tak try2 lagi, dah keluar yang biru pulak 😭😭",Neutral
Bestnya pakai cushion skintific ni auto cantik 😍,Positive
satisfyingnyaa finishing cushion skinitific 😍😍😍,Neutral
"Yes, my fav skintific cushion tak sabar nak try. Tunggu parcel sampai 😍",Neutral
Cantiknya colour packaging cushion skintific,Positive
Auto add skinitific cushion to cart sekarang,Positive
High coverage ya skintific cushion fd niii. Memang tertutup ye semua redness dan dark spots 😭💗,Neutral
"Yes, my fav skintific cushion tak sabar nak try. Tunggu parcel sampai 😍",Neutral
"Tapi dengan skinitific cushion ni, dab sikit je dah dapat full coverage yang tutup habis segala masalah kulit! ",Neutral
"As a corporate girl yang semua benda nak cepat, this skinitific cushion memang lifesaver. Flawless skin in minutes, even dengan kulit oily macam I ni, still tahan lama! 🌟⏰",Positive
"Edisi terbaru Skintific cushion ni memang khas untuk oily skin. Serious, korang kena try! 🛍️",Neutral
"My fav skintific cushion foundation, best gila coverage mmg tiptop",Positive
Cushion foundation Skintific ni memang worth the hype ke? ,Positive
I dah try both skintific cushion foundation tapi the gold one dah habis so I tunjuk this comparison vid ya.,Neutral
"For coverage, both high coverage💗 Finishing untuk skintific cushion gold dewy & sesuai untun yang ada dry/acne-prone skin. Yang blue pula finishing dia matte so sesuai untuk oily skin🫶🏻",Neutral
Skintific cushion foundation ni oxidised tak? ,Neutral
Dua2 memang best ya!! I prefer this skintific blue cushion dari yang gold sebab i love to go for matte makeup looks🫶🏻 Also my skin is combi to oily.,Positive
Siap ada 2 jenis cushion skintific ; Gold dan Blue. Meh I share tips mana yang lagi sesuai ikut skin concern korang☝🏼,Neutral
I beli biru skintific cushion tu tapi salah code 🥹,Neutral
"Harini saja dah berapa tweet skintific cushion i replyyyy 😭😭 tempting betul yg biru tu, yangtu ke dewy finishing??",Neutral
Ni cushion baru Skintific and here's my full in-depth review. Kalau takut teracun xyah bukak thread ni 🤣,Neutral
Dilema nak beli skintific cushion or yg merah bujur tu 🥹 nak beli dua2 i is taknak ikut jejak syaitonn 🥹,Neutral
"Sesuai ke utk dry skin? Kalau sesuai nk cuba. Skintific cushion yg rose gold tu tk sesuai for my dryskin. I still prefer somethinc copy paste  , using it lepas baca review you last time.",Neutral
Finally!! Dapat jugak I try Skintific Matte CUSHION BIRU. Look at my MAKE UP auto flawless after pakai. Paling best not cakey and transferproof,Positive
"Kepo banget sama cushion terbarunya skintific gara gara liat cushion core itu! Katanya sih finishnya matte, hasilnya flawless, auto ngebuktiin bener ga sih??",Positive
TERNYATA BENERAN HASILNYA SKINTIFIC CUSHION FLAWLESS!! SAMPE AKU GA BERHENTI SELFIE SAKING FLAWLESS NYA. MANAA PACKAGINGNYA CAKEP LAGI😭🫶🏻,Positive
"kayaknya sih ini bakalan jadi cushion favoritku sih, soalnya mattenya ga bikin ketarik kok masih tetep nyaman dipake apalagi kalau kulit kalian oily pasti autooo sukaa!!!",Positive
packaging nya rill cakep sii cushion skintific tuhh! btw pake shade apa caa,Neutral
Asli naksir packaging yang cushion ini ketimbang skintific cushion gold,Neutral
asliii aku ikutan penasaran sm skintific cushion inii,Neutral
"naksir banget sama skintific cushionnya, katanya kalo make lama makin glowing 😭💓",Positive
Suka bgt sama hasilnya cushion skintific,Positive
hasilnyaa bagus bgt skintific cushion blue tuhh😍,Positive
mau bgt coba inii cushion skintific gold nihh,Neutral
Finishnya yaampunnnn naksir bgt sama skintific blue satu iniii🥹,Neutral
"pantes orang-orang sekali tap langsung melongo sama cushion skintific, coverage nya sebagus ini?!?!!;",Positive
"Hasilnya cakep banget, Jadi pengen cobain cushionnya dari skintific 😍",Neutral
YUK aku bahas perbandingan cushion Glad2Glow & Skintific dibawah 🤩👇🏻,Neutral
ada ga disini yang masi bingung mau beli skintific cushion yang mana? 👀,Neutral
"finish skintific cushion Glad2Glow itu semi-matte ya, kulit kalian oily atau dry menurut aku cocok aja kalo pake finish semi-matte tuh… gak berasa kering juga karna ada kandungan skincare ",Neutral
lanjut aku pakai cushion skintific di sebelah kirinya yaa,Neutral
"coveragenya sama-sama tinggi sih, udah cukup bgt nutup imperpection di wajahku juga, bedanya finish cushion skintific ini lebih ke velvety gitu dehh",Neutral
"nah ini setelah aku aplikasiin kedua cushion (kanan: G2G, kiri: Skintific) ",Neutral
"shade cushion skintific emg aga gelap ya daripada Glad2Glow, tapi so far menurut aku dua-duanya ini OKE BGTTT ",Positive
"anw, aku perlakukan kedua skintific cushion ini sama ya guys, keduanya gak aku set pake powder karna pengen tau seberapa awet dan gimana oksidasinya ",Neutral
"cuma aku notice kalo cushion skintific ada dikitt bgt oksidasi, sedangkan Glad2Glow samsek gak ada oksidasi 😭🫵🏻",Neutral
"terus aku juga notice lipatan hidung aku yang bagian skintific cushion (kiri) itu udah mulai crack ,sedangkan yang kanan (Glad2Glow) belom crack samsek 👀",Neutral
"baru nyobain yg skintific cushion mnurut gue ga sebagus yg org bilang, dimuka kering bgt ngekrak pdhl udh skin prep, apa gue yg pakenya salah atau gmn tp kayak gacocok gtau gmnsih???🥺",Positive
PENASARAN SM 22NYA ak bru co skintific cushion,Neutral
dua skintific cushion ini dibanding sama somethinc hooman buat oily to normal skin mending mana ya?,Neutral
"Halloo, siapa tau ada yang mau angkut refill cushion skintific shade petal, serum aboveboard (preloved dan new), lipteen stain xi xiu shade 05 talkative, dan sheet mask salmon DNA MS cosmetic",Positive
"wts new segel‼️- moisturizer pink skintific 85k - refill cushion skintific ivory 85k - micellar water g2g 40k bisa shopee, gratong",Neutral
SKINTIFIC Radiance Booster Serum Spray & Perfect Radiant Glow Cushion,Neutral
refill cushion skintific ivory ❌❌❌,Neutral
uda di take orang ya kak cushion skintific nya🙏🏻,Neutral
SKINTIFIC Perfect Radiant Glow Cushion,Neutral
WTS! Cushion Wardah Colorfit Shade 22N and Cushion Skintific biru Shade Petal,Neutral
kak yg skintific cushion exp kapan,Neutral
"up wts prelove jaket, vest, new skincare, skintific cushion dan jam tangan!! edisi BU!! skincare, cushion dan body lotion masih segel dan original ya. ",Positive
✨cushion skintific perfect matte shade 01 vanilla new masih segel : 100k,Neutral
"Tweezer tu make sure dah basuh bersih and lap kering okay!, If skintific cushion foundation you memang dah habis. Boleh beli refill dekat sini—",Neutral
"If you rasa cushion skintific ni cepat habis, cuba buat tips ni. ",Neutral
Ada kemungkinan besar skintific cushion foundation you still boleh guna and belum habis lagi🫣,Neutral
5 agustus 2027 kak untuk cushion skintific nya,Neutral
wts refil cushion skintific ,Neutral
"bs lewat oyen yukk sis angkut, masi baru, dijual karna aku ganti yg warna pink ituhh😚😚",Neutral
"Skintific keluarkan cushion foundation baru!! It's called the Velvet Matte Cushion, and sumpah BEST GILA YANG NI!! ",Positive
gara gara skintific cushion makeup I nampak FLAWLESS gila weh!😩💙Full review kat thread bawah!,Positive
"Ni comparison before and after application. (I sayang nak guna skintific cushion dia, so I guna jari je dulu🤣)",Neutral
I feel like skintific cushion yang ni lagi high coverage. So one layer is already enough to cover any flaws.,Neutral
"Kalau korang belum cuba lagi either cushion or serum foundation from Skintific, and tak tahu nak beli yg mana, then this thread is for you 🫵🏻",Neutral
tawarin cushion skintific shade petal yg refill nyaaa,Neutral
Penatlah nak cakap. Skintific cushion ni memang worth the hype bukan overrated.,Positive
"If you rasa nak flawless time raya, pakailah cushion skintific. Confirm tak menyesal. Makeup on point 💯",Neutral
Skin you akan well hydrated bila pakai this skintific cushion and nampak glowing ✨,Positive
Kemaren lagi rame tentang cushion core si Skintific biru ini alias ✨Skintific Perfect Stay Velvet Matte Cushion✨,Neutral
Aku mau bahas finish dan ketahanannya gimana di kulit aku cushion dari produk skintific.,Neutral
Jadi pasti kalian udah pada tau ga sih kalo Skintific ngeluarin cushion baru yang velvet matte warna biru ini🩵,Neutral
menurutku cushion ini beneran high coverage gak kalah sama cushion skintific yang satunya.,Neutral
"Cushion skintific ini bisa liat sendiri, kulit aku yang lagi ada bekas jerawat langsung ketutupan👌🏻",Neutral
"Worth it to try? YES definitely, kalo kalian suka sama cushion skintific yang sebelumnya kalian harus coba yang ini menurutku ini versi lebih minim oksidasi dan hasilnya juga lebih ringan walau dia tetep high coverage. ",Positive
Aku sendiri lebih suka yg skintific cushion biru ini dibanding yg gold👌🏻,Positive
Kalo kalian kepo dan pengen tau more detail ttg skintific cushion ini bisa cek disini 👇🏻,Neutral
bagus cushionnya skintific,Positive
ini jadi skintific cushion favorite aku sekarang🥹,Neutral
"aku ud cinta bgttt sm cushion skintific yg gold, lbh bagus mana sm yg biruu",Positive
skintific cushion biru 😍,Neutral
skintific Cushion terflawless dan bikin cantik! ❤️,Positive
"PLS SAMA BGTT, aku juga in love sama this skintific cushion",Positive
☆ skintific cushion refill shade 03 petal,Neutral
CUSHION BARU SKINTIFIC >>>,Neutral
"finishnya keliatan halus banget kayak skintific cushion sebelumnya, coveragenya medium-full, matte & self-setting, jadi minim banget transfer. totally DESERVES THE HYPE! 💎💙🌊✨",Neutral
SKINTIFIC Perfect Stay Velvet Matte Cushion,Neutral
one of the reasons why I love cushion foundation skintific is because dorg ada option untuk beli refill je insteas of the whole product. dapat sekali dgn puff and its much cheaper,Positive
Asyik tengok swatches cushion Skintific dekat kulit halus & cerah je kan? ,Neutral
SKINTIFIC Perfect Stay Velvet Matte Cushion,Neutral
"At this point, i tak rasa review cushion skintific tu marketing semata. I dah try and now rasa tak complete dah kalau keluar tak pakai that cushion. Finishing dia sumpah cantik 😭",Positive
"But please take note, skintific cushion ni dia jenis oxidize. So better beli 1 shade lighter!",Negative
Skintific Perfect Stay Velvet Matte Cushion,Neutral
Refill cushion skintific gold new,Neutral
wts refill cushion skintific shade 01 ivory new sealed 80k bisa 🍊,Neutral
Skintific Cushion ni memamg the bomb! Gula pakai 1 layer je pun dah cantik + buat kulit sekata. ,Positive
Tak payah susah-susah pakai foundation dan any concealer untuk cover korang punya dark spot atau kulit tak sekata dah lepas ni. Pakai Skintific Cushion and you ready to go!,Neutral
"Esok Gula nak try pakai seharian and tengok jauh mana pergi dia! Btw, korang dah cuba Skintific Cushion ni ke belum? ",Neutral
pasti udah pada tau kan kalo skintific kemarin launch cushion 😆 kebetulan aku udah cobain dan mau review gimana performanyaa~ disimak yaa 💟,Neutral
— skintific cover all perfect cushion spf 35 pa++++ ,Neutral
"cushion ini baru ada di tiktok shop ya dengan harga 159k aja karena skintific lagi ngadain super brand day di tiktok shop, jadi jangan sampai ketinggalan ya <3",Neutral
finally bisa spill skintific cushion ini! kemarin udah coba and amazed sama hasil dan performanya 🥹👍,Neutral
"❇️ packaging skintific cushion — dia packagingnya simple dan elegan. warna gold gitu. yang aku suka tuh dia packagingnya slim dan compact, gak bulky, pas bgt digenggam, dan purse fit",Positive
jadi gimana guys kalian tertarik gak sama cushion skintific inii? jujur ini bakal jadi salah satu cushion fav aku sih 😆❤️,Neutral
"kak, shade ini kalo di skintific cushion somethinc mirip shade yang mana ya? tqq",Neutral
"Tapi since i dah try both cushion and serum foundation skintific ni, meh nak kasi honest review sikit:",Neutral
HUAA CUSHION BARUNYA SKINTIFIC CAKEP BANGET FINISHNYA😭💖💖 ,Neutral
Bekas jerawat ak kyk gone ga sie? Coveragenya itu lo🥹❤️ Buat yg lg nyri2 cushion pliss cushion skintific ini worth evry penny bgt😭 ,Positive
"Skintific ngeluarin cushion baru, zuzur packagingnya indah banget yaAllah!!:”)",Neutral
"Tapi nggak cuma packagingnya sih yang bagus, performa cushionnya juga juara dan hari ini aku bakalan share pengalamanku waktu pakai skintific cushion ini<3",Positive
"For my tan skin girlies yang baru first time nak try Skintific cushion tapi risau kelabu, no worries girls cause it looks so good on my skin.",Neutral
"Selama aku pakai skinitific cushion ini, aku merasa bahwa cushionnya punya coverage medium to full. Terus dia juga build-able, jadi kalau kita timpa itu dia nggak ngangkat produk yang diawal aku apply~",Neutral
"Btw lupa nak share haritu i buat wear test pakai skintific blue cushion tu masa pi kenduri tengah panas lit-lit berpeluh, untuk yang kulit oily.",Neutral
SKINTIFIC Perfect Radiant Glow Cushion,Neutral
"setelah cocok sama beberapa produk skincare skintific, akhirnya mereka ngeluarin makeup line dong~",Neutral
"yup.. cover all perfect cushion. u guys, harus cobain sendiri sih magicnya cushion dari skintific ini. cakep euy!🤩",Neutral
Skintific cushion yang tengah hype sekarang ni RM15 jeeee 15/5 niiii !!,Neutral
Brand viral Korea yg murah gila tu ada cushion foundation jugak btw. Half price je dari Skintific,Neutral
"siapa yang daily go-to cushionnya samaan kaya aku? aku suka bgttt cushionnya SKINTIFIC ini dari dulu harus selalu ada di pouch, selalu jadi fav aku krn walaupun high coverage tapi flawless bgt hasilnya kayak second skin plus ada skincarenya!! 😍🫰",Positive
"Kalian tau nggasi kalo sekarang skintific punya cushion?? Yes kalian ngga salah baca, Mereka baru aja launching cushion dengan 5 varian shades 🤩",Neutral
Lihat inii betapa flawlessnya makeup aku pake skintific cushionnya.. packagingnya pun cantik & elegant banget 🥹,Positive
